Hip-Hop,1293,1
Hip-Hop,514,1
Hip-Hop,1151,1
Pop,50135,1
-,361,1
-,193,1
-,612,1
-,171,1
-,173,1
Hip-Hop,943,1
Rock,1832,1
Rock,1498,1
Experimental,1278,1
Experimental,489,1
Folk,582,1
Folk,1299,1
Folk,725,1
Folk,848,1
Jazz,1143,1
Jazz,883,1
Jazz,690,1
Jazz,766,1
Experimental,1831,1
Experimental,453,1
Experimental,407,1
Rock,148,1
Rock,98,1
Rock,424,1
Rock,205,1
Rock,197,1
Experimental,362,1
Experimental,190,1
Experimental,163,1
Experimental,130,1
Experimental,110,1
Experimental,121,1
Experimental,109,1
Experimental,94,1
Experimental,70,1
Experimental,140,1
Experimental,180,1
Experimental,80,1
Experimental,100,1
Rock,270,1
Rock,122,1
Rock,242,1
Rock,90,1
Rock,177,1
Rock,116,1
Rock,72,1
Rock,104,1
Rock,160,1
Rock,149,1
Rock,226,1
Rock,1339,1
Rock,5547,1
Rock,869,1
Rock,831,1
-,1043,1
Folk,1253,1
Folk,101,1
Folk,945,1
Folk,64,1
Folk,125,1
Folk,824,1
Folk,754,1
Folk,138,1
Folk,75,1
Folk,833,1
Folk,451,1
Folk,38,1
Folk,772,1
Folk,150,1
Folk,46,1
Folk,603,1
Folk,688,1
Folk,69,1
Folk,87,1
Folk,609,1
Folk,397,1
Folk,351,1
Folk,1824,1
Folk,1714,1
Folk,551,1
Pop,1148,1
Rock,1351,1
Rock,1366,1
-,7668,1
Jazz,1276,1
Jazz,1277,1
-,1328,1
Rock,532,1
-,747,1
Rock,425,1
-,594,1
-,855,1
Rock,374,1
-,1045,1
-,744,1
Rock,4495,1
Rock,2311,1
Rock,766,1
Rock,1350,1
Experimental,193,1
Experimental,593,1
Experimental,247,1
Experimental,129,1
Experimental,233,1
Experimental,2114,1
Experimental,126,1
Experimental,136,1
Experimental,324,1
Experimental,167,1
Experimental,169,1
Experimental,330,1
Experimental,276,1
Rock,89,1
Rock,167,1
Rock,2605,1
Rock,50,1
Rock,190,1
Rock,260,1
Rock,56,1
Rock,109,1
Rock,1484,1
Rock,748,1
Rock,70,1
Rock,69,1
Rock,297,1
Rock,90,1
Rock,241,1
Rock,153,1
Rock,325,1
Rock,309,1
Rock,487,1
Rock,304,1
Rock,94,1
Rock,106,1
Rock,217,1
Rock,228,1
Rock,164,1
Rock,254,1
Rock,58,1
Rock,105,1
Rock,76,1
Rock,322,1
Rock,388,1
Rock,225,1
Rock,144,1
Rock,195,1
Rock,160,1
Rock,118,1
Rock,281,1
Rock,1629,1
Rock,165,1
Rock,192,1
Rock,111,1
Rock,251,1
Rock,181,1
Rock,71,1
Rock,97,1
Rock,125,1
Rock,90,1
Rock,150,1
Rock,505,1
Rock,139,1
Rock,108,1
Rock,65,1
Rock,144,1
Rock,165,1
Rock,182,1
Rock,62,1
Rock,255,1
Rock,65,1
Rock,59,1
Rock,98,1
Rock,47,1
Rock,326,1
Rock,67,1
Rock,55,1
Rock,2281,1
Rock,1551,1
Rock,71,1
Rock,47,1
Electronic,351,1
Electronic,843,1
Electronic,289,1
Electronic,294,1
Rock,424,1
Rock,280,1
Rock,244,1
Electronic,188,1
Electronic,427,1
Electronic,587,1
Electronic,520,1
Electronic,587,1
Electronic,157,1
Electronic,55,1
Electronic,558,1
Electronic,392,1
Electronic,378,1
Electronic,148,1
Electronic,177,1
Electronic,254,1
Electronic,213,1
Electronic,185,1
Electronic,140,1
Electronic,3737,1
Electronic,243,1
Experimental,194,1
-,3890,1
Experimental,168,1
-,2513,1
Experimental,117,1
-,2522,1
-,3092,1
Experimental,3562,1
Experimental,648,1
Experimental,117,1
Experimental,118,1
Experimental,100,1
Experimental,72,1
Experimental,82,1
Experimental,57,1
Experimental,57,1
Experimental,47,1
Experimental,45,1
Experimental,57,1
Experimental,181,1
Experimental,122,1
Experimental,82,1
Experimental,280,1
-,905,1
-,295,1
-,158,1
-,116,1
-,522,1
-,127,1
-,320,1
-,222,1
-,353,1
-,892,1
-,195,1
-,245,1
-,341,1
Rock,1241,1
Rock,7765,1
-,4833,1
-,4126,1
-,4096,1
-,4461,1
-,5106,1
Rock,85,1
Rock,207,1
Rock,176,1
Rock,28,1
Rock,82,1
Rock,49,1
Rock,21,1
Rock,39,1
Rock,139,1
Rock,62,1
Rock,29,1
Rock,118,1
Rock,60,1
Rock,27,1
Rock,149,1
Rock,22,1
Rock,14,1
Rock,83,1
Rock,36,1
Rock,116,1
Rock,29,1
Rock,38,1
Rock,22,1
Rock,218,1
Rock,17,1
Rock,95,1
Rock,85,1
Rock,922,1
Rock,23,1
Rock,27,1
Rock,57,1
Rock,22,1
Rock,39,1
Rock,175,1
Rock,25,1
Rock,29,1
Rock,42,1
Rock,71,1
Rock,14,1
Rock,42,1
Rock,38,1
Rock,39,1
Rock,2002,1
Rock,43,1
Rock,48,1
Rock,120,1
Rock,29,1
Rock,94,1
Rock,65,1
Rock,172,1
Rock,50,1
Rock,201,1
Rock,190,1
Rock,112,1
Rock,171,1
Rock,85,1
Rock,59,1
Rock,169,1
Rock,58,1
Rock,109,1
Electronic,225,1
Electronic,341,1
Folk,614,1
Folk,397,1
Folk,336,1
Folk,367,1
Folk,223,1
Folk,128,1
Folk,835,1
Folk,113,1
Folk,126,1
Folk,88,1
Folk,213,1
Folk,64,1
Folk,741,1
Folk,100,1
Folk,119,1
Folk,290,1
Electronic,2632,1
-,724,1
-,140,1
-,124,1
-,112,1
-,199,1
-,104,1
-,141,1
-,233,1
Rock,127,1
Rock,134,1
Rock,467,1
Rock,93,1
Rock,181,1
Rock,183,1
Rock,110,1
Rock,81,1
Rock,70,1
Rock,157,1
Rock,147,1
Rock,751,1
Rock,2617,1
Rock,96,1
Rock,200,1
Rock,55,1
Rock,43,1
Rock,460,1
Rock,349,1
Hip-Hop,536,1
Hip-Hop,858,1
Hip-Hop,330,1
Hip-Hop,227,1
Experimental,218,1
Experimental,530,1
Experimental,166,1
Jazz,2914,1
Jazz,2624,1
Jazz,2465,1
Jazz,3092,1
Folk,76,1
Folk,660,1
Folk,359,1
Folk,352,1
Rock,935,1
Rock,245,1
Rock,340,1
Rock,1072,1
Rock,418,1
Folk,508,1
Folk,370,1
Folk,566,1
-,113,1
Folk,1843,1
Experimental,1019,1
Experimental,393,1
Folk,163,1
Folk,101,1
Folk,361,1
Folk,922,1
Folk,678,1
Folk,112,1
Folk,31,1
Folk,83,1
Folk,655,1
Folk,146,1
Folk,177,1
Folk,130,1
Folk,257,1
Folk,75,1
Folk,317,1
Rock,509,1
Rock,272,1
Rock,774,1
Experimental,83,1
Experimental,69,1
Experimental,55,1
Spoken,958,1
Electronic,222,1
Electronic,193,1
Electronic,127,1
Electronic,121,1
Electronic,82,1
Electronic,202,1
Electronic,189,1
Electronic,273,1
Electronic,67,1
Electronic,151,1
Electronic,111,1
Electronic,90,1
Electronic,111,1
Electronic,114,1
Electronic,77,1
Electronic,103,1
Electronic,50,1
Electronic,444,1
Electronic,219,1
Electronic,94,1
Electronic,82,1
Electronic,260,1
Electronic,80,1
Electronic,1835,1
Electronic,3870,1
International,1902,1
International,2005,1
Hip-Hop,856,1
Hip-Hop,589,1
Hip-Hop,112,1
Hip-Hop,158,1
Hip-Hop,486,1
Hip-Hop,226,1
Hip-Hop,366,1
Hip-Hop,97,1
Hip-Hop,1225,1
Hip-Hop,409,1
Hip-Hop,91,1
Hip-Hop,315,1
Hip-Hop,642,1
Hip-Hop,292,1
Hip-Hop,162,1
Hip-Hop,145,1
Hip-Hop,587,1
Hip-Hop,117,1
Hip-Hop,539,1
Hip-Hop,220,1
Hip-Hop,289,1
Hip-Hop,138,1
Rock,5724,1
Rock,471,1
Rock,573,1
Rock,326,1
Hip-Hop,7883,1
Hip-Hop,2826,1
Rock,1119,1
Rock,141,1
Rock,409,1
Rock,170,1
Rock,53,1
Rock,644,1
Rock,950,1
Rock,750,1
International,2105,1
International,2545,1
International,1948,1
International,1922,1
International,5007,1
International,3812,1
Rock,157,1
Rock,112,1
Rock,84,1
Folk,646,1
Folk,928,1
Folk,1252,1
Folk,603,1
Folk,3061,1
Rock,245,1
Rock,326,1
Rock,112,1
Rock,132,1
Rock,207,1
Experimental,114,1
Experimental,187,1
Experimental,80,1
Experimental,111,1
Experimental,97,1
Experimental,109,1
Experimental,53,1
